epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_5,sod_mask
0,77828673,31889657,99480728,32440967,26545564,38132913,113111898
1,77679608,32923735,96616803,31959042,28304892,39440902,112505418
2,78595613,32633380,95628652,34858966,28433330,37499722,111780737
3,80486415,31716647,95130748,33370528,27025280,38577663,113123119
4,80673638,33341466,96198699,33302404,25886777,37944359,112083057
5,79015156,33092218,96303768,32401289,28176085,38394868,112047016
6,75920091,33400621,97494216,33915708,26498444,41057448,111143872
7,82132822,32730018,95265665,32328902,27373533,36753030,112846430
8,78666832,31918070,96313805,32057987,27539418,39693978,113240310
9,77120403,33270684,97840453,33149432,26321291,39759132,111969005
