epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,85904499,61851006,61510509,44856517,58807928,106499941
1,87537980,60924971,62689535,43475205,58170387,106632322
2,89694026,61315486,59090494,43445524,58218732,107666138
3,88166549,63878755,57924692,44940375,56990199,107529830
4,86719103,62575304,59761836,44765784,57164618,108443755
5,83939696,61046817,60099840,46109636,59675087,108559324
6,84198818,63369362,61265979,43922604,57725974,108947663
7,88078960,61077263,60257692,46370639,56543879,107101967
8,87000601,62303653,61321830,46277349,57112898,105414069
9,88631400,63691152,57806652,46501344,56480237,106319615
10,85075691,62111005,60428676,46552300,57170370,108092358
11,85401240,63520356,59779506,45457048,57851263,107420987
12,86835051,61703638,61306723,44754472,57376725,107453791
13,83512029,61554369,61703950,45994504,59150930,107514618
14,85643467,60275133,61301484,44915641,59515753,107778922
15,88713122,63331494,57349832,44092107,57368661,108575184
16,84672809,64701219,60175994,44476905,57803668,107599805
17,86751851,63449254,61496260,45650496,55907042,106175497
18,86555073,62490505,58605614,46023536,57615194,108140478
19,86023131,63937841,56652545,45252824,59029868,108534191
20,87322124,61020006,61401980,45368713,57624940,106692637
21,83789412,61862095,60872659,45932796,60162333,106811105
22,85972212,61069965,58196658,46154208,60101759,107935598
23,84774156,61952847,60335829,44817222,59685296,107865050
24,86961208,65089372,58869698,43222344,59234566,106053212
25,86619400,63999486,60433201,44088331,57431905,106858077
26,84479579,62478619,60857990,43503761,59598702,108511749
27,85244879,63315780,56744647,46965349,60493030,106666715
28,84594837,61903348,62203122,45026193,59957013,105745887
29,85408149,62581024,57761864,42993418,61503479,109182466
30,88502714,60045337,59591207,45889498,58886941,106514703
31,86545363,61755080,60466005,43160360,59659514,107844078
32,89840392,62134619,57673851,43538636,59996303,106246599
33,86376626,61233443,62023215,45624403,56629814,107542899
34,89271467,63285065,59896270,44354825,56907778,105714995
35,85609070,62170036,61141374,45972545,57461672,107075703
36,87482484,63198084,60344177,43576922,57136325,107692408
37,85053345,62777419,60613414,45003066,57893325,108089831
38,86582187,61721085,62865543,44540810,57644018,106076757
39,87026390,61469355,58950168,47548264,57412067,107024156
40,87016079,61356938,62017808,44332912,57961789,106744874
41,86691625,60946681,61607153,44828665,58488624,106867652
42,84689830,59768814,61136743,46638614,60460459,106735940
43,85299351,64687471,59792973,43143551,56727587,109779467
44,86433734,63196955,59528541,44908246,58164004,107198920
45,85654215,61968284,61860258,44791559,57292214,107863870
46,86253377,59462000,61366413,47580543,58468478,106299589
47,87240204,63170952,58127800,44547071,57803828,108540545
48,85240434,61063180,60993567,46016512,58908902,107207805
49,87200327,63544747,60661535,43422996,56729728,107871067
50,85624194,60763024,62005187,45537241,57555026,107945728
51,88681537,62202578,57651947,45018102,57490950,108385286
52,86696832,62882951,56857477,44651588,60421690,107919862
53,88668468,61969414,59711177,46426459,57047068,105607814
54,86688390,60098346,60056184,44641506,59978083,107967891
55,84411043,61574369,61460115,43131231,60469526,108384116
56,83147053,62901126,61387341,44524441,60676854,106793585
57,88443477,60980765,58103568,45306930,59111950,107483710
58,85955259,61447678,64622236,41993955,59022039,106389233
59,86001496,60798914,61885728,45913678,59489705,105340879
60,85549887,61941189,60497897,45471380,57457674,108512373
61,86759863,63701268,57614594,43854368,58738962,108761345
62,86478633,61954878,58121467,46786704,59218942,106869776
63,89492626,61977077,59305851,44521990,58112467,106020389
64,85886773,63126287,61748118,44485487,58231421,105952314
65,86949838,62919422,59432497,45799373,57813063,106516207
66,82549987,61201749,61836950,44977836,60403719,108460159
67,83181452,61717514,61556339,43880494,60398404,108696197
68,84388365,61681242,61270691,45536543,59106584,107446975
69,86177339,64601868,58684619,45034152,57392682,107539740
70,83334910,62177618,62029310,46309601,57483591,108095370
71,86512376,61323745,57541990,47390678,59177301,107484310
72,87369449,63260830,60435514,42900301,58232873,107231433
73,84335938,63751657,60579399,44233751,59295360,107234295
74,87572899,62333774,59861461,44605720,58589422,106467124
75,86462635,62652667,59884007,44393455,56455627,109582009
76,87129104,61978576,61494814,45999135,57110132,105718639
77,86094181,62420043,57880193,49775522,56723406,106537055
78,88328137,61351425,60787536,45199730,57208162,106555410
79,85011190,62656058,59252406,46245971,57824166,108440609
80,83356088,63261699,62078502,46033899,57919014,106781198
81,84976220,62177218,61018163,48430095,56238077,106590627
82,83101562,64273159,60839229,44928586,59072400,107215464
83,85008684,62856341,60434672,44525524,60574720,106030459
84,87461474,62738583,61740076,44119034,57063717,106307516
85,85666626,62813166,62522862,42420947,58961298,107045501
86,84745960,59825129,62249482,45527679,59616238,107465912
