epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,83718190,54848696,76635323,41928631,54908658,107390902
1,84809123,56144935,76289999,41949257,53402903,106834183
2,83147212,57370325,73625888,42330256,54861080,108095639
3,81207680,56464225,75859375,43810107,55692213,106396800
4,84226252,59130886,73826428,41184139,52977055,108085640
5,81880520,57409608,74346064,42320295,54841571,108632342
6,83827811,58623888,74134797,43121409,52972421,106750074
7,85482624,56130362,72976499,41116212,55423106,108301597
8,86837280,55738980,74237903,42001616,54145640,106468981
9,83611677,55134542,79123606,42697583,51494557,107368435
10,82519459,56566826,72990047,43777845,55727865,107848358
11,83944080,57844078,74661214,42089431,53106494,107785103
12,83651614,56875504,71312876,45693611,54666059,107230736
13,83309777,57964634,71947748,43343309,55549609,107315323
14,82964631,58190423,72997631,43844808,53854776,107578131
15,81098440,57405933,72050050,45739474,53907282,109229221
16,85162675,56386098,74813868,42721154,53058161,107288444
17,85013348,57899175,74358699,44159028,51658015,106342135
18,82823474,57863000,71881835,43736301,54628270,108497520
19,82636482,57802610,75606603,42630591,53483970,107270144
20,83324712,58688851,73768441,43219400,52254179,108174817
21,86264762,58805323,72796808,41801386,51713128,108048993
22,83761675,62361676,72098425,43935860,50646801,106625963
23,83605625,56505954,75790559,44617751,52131109,106779402
24,84765399,58198587,73179308,41074941,55015026,107197139
25,86679729,54262329,76851245,42040003,53659586,105937508
26,81890052,59036056,74772265,41923236,54176119,107632672
27,82774255,55731743,77089926,42407417,54067170,107359889
28,85793997,56955432,76336062,42460950,51472591,106411368
29,80875377,56651474,77275470,42963702,54664542,106999835
30,80136304,57190427,77975310,42229861,54260706,107637792
