epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,83747055,59442525,65934201,46340626,57997516,105968477
1,83952320,60543262,65587184,45478687,57304612,106564335
2,87648592,60037067,61767247,46724674,56802115,106450705
3,85873629,62388953,60830731,47881245,55497293,106958549
4,84879530,62199047,62596344,45961676,55815297,107978506
5,83324377,60778429,62018523,47313468,57688056,108307547
6,83797480,61377705,62702773,46715190,56389708,108447544
7,84574172,60327302,62588002,47605642,57337322,106997960
8,85691462,61872188,64449985,47156535,55174624,105085606
9,85585214,62612117,62404932,46326595,56001778,106499764
10,83852777,60400741,62082357,48242848,57297097,107554580
11,84783948,62493213,60599454,47472940,57089648,106991197
12,86296688,60218081,61226087,46545305,58453665,106690574
13,84108616,59989798,64123903,46642175,57565082,107000826
14,84556543,59479439,63267704,47061122,58198765,106866827
15,88042484,60961334,60976128,46621995,55539175,107289284
16,85947081,62491816,61771536,47404078,55893628,105922261
17,86516576,61761067,63211782,47109845,54791079,106040051
18,83362293,61085907,60081352,48836203,58141503,107923142
19,84721650,60949615,60999130,46761241,57973142,108025622
20,85508746,59025965,62487129,48247420,58703686,105457454
21,81782706,61064505,63198536,47070904,59478939,106834810
22,84749670,58739420,61355294,47311751,59141322,108132943
23,81902328,60939046,63215025,47778673,58921294,106674034
24,83080415,64052399,62166524,46117841,56919301,107093920
25,85607787,62925735,61695204,45851534,56642086,106708054
26,84243709,61643511,63543731,43809679,58925218,107264552
27,83291881,62019059,61237512,48729803,57833657,106318488
28,83500400,61623372,62856887,47938599,58454038,105057104
29,83693217,59895283,60604872,46659562,59670214,108907252
30,86692995,58904446,63194005,46917485,57613411,106108058
31,86936350,58565597,64985620,43776388,57831751,107334694
32,88852172,62036288,60147361,44937024,57666869,105790686
33,85610725,60027019,64210224,46693958,56234251,106654223
34,85053456,62770857,64234966,45186250,57146404,105038467
35,85046783,61148166,64099876,46514728,56342664,106278183
36,84877941,61855381,62440001,47076671,56507280,106673126
37,85620383,61510875,63767408,46474784,55405552,106651398
38,84705496,60970538,63637901,45380976,57884241,106851248
39,83462097,61529178,61738704,49070310,56075385,107554726
40,82685847,61488795,64038706,47916065,57083006,106217981
41,84453855,59825906,62514992,46341119,59790676,106503852
42,84994281,59002989,64009358,49066002,57002179,105355591
