epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,33633655,38940930,29456605,24474204,32449452,50760354
1,34934073,38955752,31716678,24269075,28571470,51268152
2,36166154,35030519,32617384,23733559,31916732,50250852
3,34761272,38818089,30712572,23933681,31386396,50103190
4,32286552,38831243,31379944,25707429,31690161,49819871
5,33422789,37726300,31995323,26496994,30029055,50044739
6,35466369,36701985,32355211,25183679,30557420,49450536
7,33992985,37848347,31105165,25224668,31299946,50244089
8,34787153,36831901,31995551,26912560,29177295,50010740
9,34402815,36927357,32179106,25581031,30268954,50355937
10,34824061,37370859,32310813,24156555,30138053,50914859
11,34749578,38815037,31407854,24821864,30080044,49840823
12,34415579,36818622,31773910,25626745,30918564,50161780
13,34958580,37012648,32162994,25967336,29471405,50142237
14,33662171,39369382,31008496,25389055,30596549,49689547
15,35320872,38781396,30544857,25161766,29466425,50439884
16,35620708,37606732,31764946,25037560,29069175,50616079
17,33954111,38316808,30826054,27819026,28605954,50193247
18,33892740,37958371,31126452,27055885,29273467,50408285
19,35174320,37659019,31722879,26749664,28945939,49463379
20,33778896,39011419,29981097,26609759,30518897,49815132
21,34568708,36617889,31107943,26075140,31143757,50201763
22,34690701,36956491,31841539,24998941,31336763,49890765
23,35165153,37233571,31956311,26487940,29814551,49057674
24,35458942,39099271,32942597,25482874,28037805,48693711
25,34340629,37507924,30654219,28533246,28607868,50071314
26,34941638,36919727,32375219,25602342,30715400,49160874
27,34357143,39296879,31150001,25691139,29555108,49664930
28,34644506,36101365,32065743,25438081,30714156,50751349
29,34414406,37424326,29524585,26861532,31548651,49941700
30,35054427,36663870,30191817,26930757,31701215,49173114
31,36327371,37499241,31456162,24345676,30564487,49522263
32,33065611,37722414,32593509,25897232,31145060,49291374
33,35318920,37151379,30218427,25335925,31218940,50471609
34,35545817,37661483,30666525,26138478,29217305,50485592
35,33206879,36762099,31014438,27212639,31650229,49868916
36,33837447,38551303,31405432,24645049,30501038,50774931
37,33508230,38505078,31915195,26644248,28721144,50421305
38,35976898,36891694,31283605,24921612,30525360,50116031
39,34399056,37472956,31327584,26167296,30463282,49885026
40,33882729,37250635,31842694,26420740,30768518,49549884
41,35269200,37728080,31750531,26298683,28448838,50219868
42,35600528,36665948,30280139,26321838,31663191,49183556
43,32719054,38477884,29566718,27748255,30521218,50682071
44,36447912,38288048,30834094,25207256,30190733,48747157
45,34885270,36300849,30837893,27046427,30489698,50155063
46,34048901,38878280,30303868,26507511,30847579,49129061
47,33607016,40512426,32339805,24802459,27373771,51079723
48,34325400,35438429,28594560,27398195,32020997,51937619
49,33283705,38140298,31070724,25803448,31463588,49953437
50,34088343,37396029,30779095,25803546,30446495,51201692
51,35099041,39015245,33059920,23287781,28452764,50800449
52,36617018,35347712,30750916,26236336,31518888,49244330
53,35538622,39242617,30277323,25906766,29370835,49379037
54,34533409,36764354,32230658,25079889,31610589,49496301
55,36005198,37597327,32505048,24690368,28509932,50407327
56,32284511,37064002,30797710,26743165,31818401,51007411
57,32973369,37652891,31017590,26468201,31048071,50555078
