epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,33565748,1584705,4449640,10416073,34358685,20482749
1,33470771,1879353,5674453,9644061,34552434,19636528
2,32588122,1814349,5107156,8924883,36365768,20057322
3,32096482,1753647,4388878,11307833,35372940,19937820
4,32508811,1600730,4994149,9523032,35886118,20344760
5,34760448,1839309,4798255,10255270,33064097,20140221
6,36394969,1770882,5039588,9372359,31938932,20340870
7,34011793,1878442,5025606,9697672,34089842,20154245
8,34086841,2014413,5057469,9171645,34599355,19927877
9,34967976,1921851,4637897,10441826,33692283,19195767
10,33193460,2038327,3956211,10214454,35864374,19590774
11,34893176,2227283,4745740,9760376,33427728,19803297
12,34242457,1423845,5266223,8448212,35010132,20466731
13,34190601,1800125,4125802,10069434,35124740,19546898
14,31921686,2108845,4884604,9414950,36908336,19619179
15,33014692,1925157,5578867,9682695,34698764,19957425
16,33650597,1905219,4848879,9545912,34144405,20762588
17,33159251,1736178,5588191,9381882,35226863,19765235
18,33171290,1878780,4909263,9452170,35229076,20217021
19,32853335,1990904,5162613,9728600,34930036,20192112
20,34449721,1542013,5374540,8710331,34046041,20734954
21,32799849,1548891,4983504,9678427,35698771,20148158
22,34504160,2093658,4450481,10184438,33639694,19985169
23,32693410,1990486,5954375,9652442,34134466,20432421
24,32077076,1801891,4756884,10114957,36108172,19998620
25,33818805,2172620,5329070,9357920,33973414,20205771
26,35692148,1938226,4138908,8859074,34975470,19253774
27,34841465,1930629,4604063,9520910,34621457,19339076
28,33122551,1920293,5146851,9859640,34291172,20517093
29,33139792,1927793,5429713,10807779,33778634,19773889
30,32200429,2155452,4475999,9938991,35562338,20524391
31,32993919,1950031,4646206,10848469,34682744,19736231
32,31202726,1783668,5350014,9036741,37270263,20214188
33,33895847,1756650,4796913,10229516,34333710,19844964
34,32968543,1876204,5167586,8776012,35846311,20222944
35,32694024,1679966,5541508,10589779,34542525,19809798
36,33450768,1501587,4458037,9871659,35982924,19592625
37,34487855,1509178,5041091,9704716,34446257,19668503
38,35808188,1682007,4700085,9687661,32759892,20219767
39,33932877,1668483,5124702,10304472,33777154,20049912
40,32021302,1645072,4457180,9828123,36181980,20723943
41,31335588,1958628,4693790,10497320,36496152,19876122
42,33185444,1845930,4103140,9896689,35650773,20175624
43,33436403,1719197,4800717,9493020,35772053,19636210
44,34634289,1852043,5146621,9031881,33954834,20237932
45,36311034,1538447,4307734,9479752,33595558,19625075
46,31978024,1574908,4155215,10395497,37170291,19583665
47,33416205,1628026,4745528,9850096,34680118,20537627
48,33028404,1921733,5000249,9987873,35109763,19809578
49,32360122,2115746,4994225,9247713,36111345,20028449
50,33834597,1375064,4510247,9038973,36056695,20042024
51,31996873,1820810,4143338,9696432,37115812,20084335
52,32752634,1749460,5479948,11080714,33990150,19804694
53,34113279,1701698,5267665,8290472,34948284,20536202
54,34297509,1634579,4663176,9111735,35123552,20027049
55,32782398,1724981,5225948,9190006,35392231,20542036
56,33716566,1856955,4530052,10408251,33867426,20478350
57,34171310,1858362,5275279,9148992,34550305,19853352
58,33637916,1924833,4792771,9571802,35525697,19404581
59,32915321,1483200,5507201,9499171,35629576,19823131
60,33486588,1864513,5181140,8854612,34952538,20518209
61,33106354,2104800,4693840,10337870,34335825,20278911
62,32645846,1719938,4806547,9961766,35540410,20183093
63,33539601,1913516,4763149,8686453,35969962,19984919
64,33535962,1558411,5064999,10402826,33796364,20499038
65,34535564,2162509,5292882,9798958,33545879,19521808
66,33414992,1785567,4663261,10019562,34953977,20020241
67,34094502,1777681,4243583,9226616,35897898,19617320
68,34063956,1930454,4668026,9828339,34425444,19941381
69,33522657,1735935,4257855,9430486,35379275,20531392
