epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,88553661,59199552,56007053,47529086,57838078,110302970
1,89591467,58993319,60259910,45237231,56349677,108998796
2,87476013,61085487,56188398,46265170,57165520,111249812
3,87599477,59190930,58429553,47332317,58350966,108527157
4,89367262,62931432,56512420,43873589,56132785,110612912
5,89851782,61260833,54473373,45125282,56593749,112125381
6,90437485,61470869,54228909,46333559,56663571,110296007
7,92421414,60768999,55665780,43848924,56079502,110645781
8,90641911,58575055,56951004,45622898,58719988,108919544
9,93555107,59034488,59228476,43887282,54123854,109601193
10,89761954,60989222,56443289,44786454,56685845,110763636
11,88168884,60313230,57763107,47003313,56768129,109413737
12,91214816,61400886,56607325,44638212,55626211,109942950
13,89018386,61765819,56869137,44152033,56657351,110967674
14,88105326,60898335,58043870,46798354,56029718,109554797
15,88488067,62284287,55038820,46316497,56671428,110631301
16,89030542,60196972,54438088,46825931,58841602,110097265
17,90209061,63550791,52894574,46485848,55595870,110694256
18,88065869,61280014,55462759,47061563,56895027,110665168
19,87106678,63008114,57767605,43482557,57678279,110387167
20,89591472,62181219,53443111,45524399,58872685,109817514
