epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask0,50977369,53651768,29825711,45793003,42257435,71095994
1,52117397,52690526,30103583,49622136,40052525,69015113
2,52414820,50008237,31183661,45416857,45394030,69183675
3,52033207,51367081,30059600,46234325,43918963,69988104
4,47839971,52775365,32387701,45897482,45530646,69170115
5,50703184,51623748,31919394,49494953,40675471,69184530
6,53562581,51184514,30480758,47278638,41715500,69379289
7,50841313,52687050,30550177,46875591,42720042,69927107
8,53501435,50051335,31323489,48532644,41080965,69111412
9,50952362,51036593,32240743,46025502,42456003,70890077
10,51923078,51105701,30420260,46919489,43070467,70162285
11,51740795,52959523,30320730,49408302,40392312,68779618
12,51823872,49961513,32476241,46824794,43407317,69107543
13,50737645,50822784,30320786,49986637,41688410,70045018
14,51044286,53534848,29629355,47760201,42214246,69418344
15,52425308,52401878,31350446,46597301,41304640,69521707
16,53977422,51049867,29833693,48180817,40968158,69591323
17,52026341,51996607,29950167,47283958,42545981,69798226
18,51993708,53001122,29553744,47252816,41798743,70001147
19,50520544,51502926,30996546,51179190,40363222,69038852
20,51148686,52993820,29162024,48650930,42408723,69237097
21,52226056,51064346,31518772,46680658,42438440,69673008
22,50565723,52501712,31798630,47531201,41894258,69309756
23,51959173,52069276,31329839,45619685,43508147,69115160
24,51859838,52660872,32241660,46126613,42248334,68463963
25,52290609,52986395,30896597,48293587,39997444,69136648
26,53999767,51292839,32201381,46138610,41848301,68120382
27,49112769,53509711,30823296,49299645,41791698,69064161
28,51058501,51744289,32787333,47510997,40518422,69981738
29,51100103,53641883,29472821,48014810,42523983,68847680
30,51529615,51647107,29732973,49547422,42693523,68450640
31,53156696,53274275,30854222,45172096,41829248,69314743
32,49992421,51304310,31447020,48847907,43710792,68298830
