epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,56949624,37866398,62386606,90734385,67396249,104097138
1,59285825,37931121,65915649,89108212,64523327,102666266
2,56746676,37975865,60049473,95132284,67898547,101627555
3,60715310,38825311,62596855,88647657,66689503,101955764
4,56516789,39284755,62344800,90096963,68939632,102247461
5,57983200,38822783,64514012,87354511,68539353,102216541
6,58624782,38445852,65495325,88437669,64280001,104146771
7,55117857,36823921,63756512,92297976,68638797,102795337
8,59036549,36606852,64130219,87927457,68791427,102937896
9,56061637,40065256,66171364,86394984,67016107,103721052
10,55351853,39142403,66717443,86706523,69110615,102401563
11,57481238,38938552,63868970,91492571,64493322,103155747
12,55890870,40498434,62208566,88845971,67900300,104086259
13,57790065,39285438,64763079,91185620,63918548,102487650
14,56297590,37366737,62259310,89269968,71464440,102772355
15,55998664,38156666,64857807,88367666,68197717,103851880
16,57662393,37788487,65227647,90151138,65577226,103023509
17,57785823,38735619,65803339,88565452,65226981,103313186
18,56324664,40354080,64802077,88548193,65806439,103594947
19,57718440,38042220,64832446,86509487,69778885,102548922
20,60420227,38969788,63205638,87334805,66725810,102774132
21,54459934,40405882,62932562,89436137,67763347,104432538
22,56525561,36937213,63408479,90756873,67783118,104019156
23,55748158,42250414,63435294,89336842,67196786,101462906
24,55376453,38728180,66062894,89327322,67519518,102416033
25,59921223,39816906,61360487,91124713,64742301,102464770
26,56950795,39131036,61782805,90340738,68052257,103172769
27,58022778,39305271,60459725,89145056,70812684,101684886
28,60018594,38965557,61264714,90240609,66076073,102864853
