epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,32605886,42381549,39060709,26016729,33699821,35950506
0,32605886,42381549,39060709,26016729,33699821,35950506
1,32603497,41899560,41223583,26959436,30959170,36069954
0,34034573,40878010,35526095,25301719,32266455,41708348
1,31434868,40145356,35770667,26865504,34004429,41494376
2,32895556,40820572,35072712,26166556,33117280,41642524
3,32950519,41375884,35495784,27789622,30458122,41645269
4,32747797,40496393,33758156,28056806,32929423,41726625
5,31498755,39450740,36268313,28268551,32126419,42102422
6,32123028,39458646,36566793,26971097,33327869,41267767
7,32100772,40389746,35265910,27314063,31589975,43054734
8,32597297,42562368,36225127,25036043,32613631,40680734
9,33563088,43198651,32552565,25333371,32844574,42222951
10,33546812,39569477,34551503,26007040,33836251,42204117
11,30472493,41462528,34801887,26479544,33702313,42796435
12,31777572,41485972,35899763,27006490,32037892,41507511
13,31029673,39942707,35648298,25234446,35771425,42088651
14,33613828,39966526,34430440,28277064,32751333,40676009
15,32359434,40628665,37939724,24958280,32711668,41117429
16,32625772,39426398,34075202,29058913,32854243,41674672
17,33764202,40712899,34089743,28853941,30946066,41348349
18,35240976,41465708,34706987,25290911,31671547,41339071
19,33026964,39301615,34960771,25607837,34352921,42465092
20,31859462,39961742,33851927,27005252,36057445,40979372
21,32850256,40779945,34778550,27257042,33134413,40914994
22,33206181,38974152,36480318,27212496,32779065,41062988
23,33166608,41850307,36269554,27008507,31335081,40085143
