epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_5,sod_mask
0,99129944,21972857,63633269,38149117,35344194,53781084,107419935
1,96658952,22283481,64878306,38891837,37849148,51320101,107548575
2,101549135,22361669,62190564,38036797,37068020,52038038,106186177
3,102067862,22697097,59435556,37683440,36743409,53337773,107465263
4,101265945,23098493,61424941,40318213,35079014,51471494,106772300
5,102111369,23250269,60369461,37830136,36054006,53635644,106179515
6,99224082,22900642,61097267,37933659,37261884,54787164,106225702
7,102807265,23379261,62249732,38290031,35213287,50821178,106669646
8,101033692,20955392,62846270,37060864,37617319,52647769,107269094
9,100223002,23796461,61494499,36830138,36570065,52058576,108457659
10,101075085,22132457,62051541,38598338,34500917,53222761,107849301
11,99533246,22408967,62418134,40322097,35189387,52284111,107274458
12,99790457,23732212,63444367,38999627,35045584,51832825,106585328
13,98881726,23657723,61505588,37366791,40002043,50808981,107207548
14,97014222,23020148,62046943,39060396,36682175,53784538,107821978
15,102356548,22748219,63730658,37905858,35064005,50947523,106677589
16,102188204,23083814,61137503,38764797,35143860,51728497,107383725
17,97245627,23098794,63962513,38375559,37637863,52014512,107095532
18,101607971,23518526,61817221,36713570,36720760,53124909,105927443
19,97818721,22539728,63271592,36741988,36188313,55358765,107511293
20,99123964,23410863,61796697,37547949,36902244,52974016,107674667
21,99171853,22614100,62496337,38700102,38100171,51776814,106571023
22,101364505,24787360,60469461,36676265,35770747,54078374,106283688
23,100596184,22795407,62549772,37343621,35129998,54144033,106871385
24,98475897,21898923,60433856,38878725,36722332,54286759,108733908
25,97031014,23364518,61804768,38498652,35021312,55917678,107792458
26,97847629,22370903,64153612,39033235,36107397,52782668,107134956
27,99958491,23595195,61007079,37966465,37433906,53708082,105761182
28,100462661,23636650,61177455,37584255,37580471,52089533,106899375
29,98534318,23296492,61543297,38270483,36833162,53304823,107647825
30,102831914,23358756,61427916,36430866,34393249,54520943,106466756
31,101233228,23978930,59585068,39836133,36270264,51896310,106630467
32,101088049,23148823,62693587,38087566,35874134,52129018,106409223
33,101799809,23109207,62189438,37637505,36464399,50276032,107954010
34,96655252,21853505,62798100,38141750,39179400,52377406,108424987
35,98751972,23347320,61348885,38558366,37806559,52171816,107445482
36,101556811,21341833,59801006,38774344,36136865,54754268,107065273
37,98589672,23131544,61009406,39504251,36440841,52004449,108750237
38,101209353,23847213,63727306,37110890,36127503,49549426,107858709
39,99235662,22807112,63030960,40172774,35062740,52102593,107018559
40,101245807,22389237,61517267,38950170,34867484,53361698,107098737
41,98814569,24208684,65550286,37659234,34150891,50380384,108666352
42,100661339,23240661,61389280,37176956,36784083,52716179,107461902
43,100518454,23335760,62116939,40101384,35770362,51187134,106400367
44,97458690,22209605,63295672,38410579,36583903,53803618,107668333
45,99178967,23559583,61982936,38091280,36686897,51616749,108313988
46,101251903,23230973,63214750,37716436,35289073,51890875,106836390
47,97274623,21718217,62379234,39049611,35843701,54244207,108920807
48,96958121,23162795,61360534,38038631,37822218,53336273,108751828
49,102350668,24309369,60914685,37394651,33867881,52817572,107775574
50,97786904,22877404,65457855,37127070,35595685,52435409,108150073
51,101638143,22768158,61545941,36627583,36346601,52750266,107753708
52,102678519,23291445,58233745,37931712,36319089,52500350,108475540
53,101364464,23435112,61847758,38731462,35288149,52424064,106339391
54,101439828,22995263,61706906,36960608,36377862,53033999,106915934
55,99172611,23062401,60575150,38963815,37354835,52716952,107584636
56,100639918,23278932,60896922,38614236,36804489,52686217,106509686
57,95813826,22731038,63011490,39420206,37648630,53323662,107481548
58,99157208,24533420,63101367,39039882,35710026,50404157,107484340
59,103213987,22204412,61503981,36787348,37613671,51806187,106300814
60,96883778,21701546,62009440,40612826,37061272,55028897,106132641
61,100352706,23528358,64018046,38758012,34934431,51621200,106217647
62,100379690,22281285,60700433,38081705,36268206,53933846,107785235
63,100699219,22106167,62822049,39744154,34930481,51699026,107429304
64,99416232,22879041,63958202,38395015,35586938,52964290,106230682
65,98076572,22710603,60497594,39178210,36180014,54542291,108245116
66,102811813,23477639,60826142,37318658,35513599,53153973,106328576
67,100976491,23375237,61819128,38095614,36761071,51382792,107020067
68,100591619,22382908,62748451,40200013,35742102,50765673,106999634
69,98604581,23625464,60975802,35915611,36693476,55997867,107617599
