epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_5,sod_mask
0,38250682,0,340402,7929280,136721790,0,131330646
1,38005826,0,343957,8772930,133657704,0,133792383
2,37340715,0,252155,9178218,134690042,0,133111670
3,36768265,0,315823,10679433,133588068,0,133221211
4,38591006,0,206723,8936075,134585627,0,132253369
5,36373261,0,323766,9068392,133452959,0,135354422
6,37291262,0,277581,9381262,133456646,0,134166049
7,38933287,0,347062,8247821,135258363,0,131786267
8,38925891,0,299706,8813317,132850929,0,133682957
9,36988776,0,297621,8885154,135904364,0,132496885
10,36300453,0,266601,9968145,137741046,0,130296555
11,36238053,0,214117,9210103,137033673,0,131876854
12,38486193,0,281891,9183661,135042612,0,131578443
13,39008517,0,330123,7692282,134937264,0,132604614
14,37659347,0,303492,9352486,135625285,0,131632190
15,37578323,0,272437,8698493,133416495,0,134607052
16,37260487,0,273453,8255905,136355508,0,132427447
17,39939389,0,367307,8513402,133062716,0,132689986
5,38250682,0,340402,7929280,136721790,0,131330646
6,38005826,0,343957,8772930,133657704,0,133792383
7,37340715,0,252155,9178218,134690042,0,133111670
8,36768265,0,315823,10679433,133588068,0,133221211
9,38591006,0,206723,8936075,134585627,0,132253369
10,36373261,0,323766,9068392,133452959,0,135354422
11,37291262,0,277581,9381262,133456646,0,134166049
12,38933287,0,347062,8247821,135258363,0,131786267
13,38925891,0,299706,8813317,132850929,0,133682957
14,36988776,0,297621,8885154,135904364,0,132496885
15,36300453,0,266601,9968145,137741046,0,130296555
16,36238053,0,214117,9210103,137033673,0,131876854
17,38486193,0,281891,9183661,135042612,0,131578443
18,39008517,0,330123,7692282,134937264,0,132604614
19,37659347,0,303492,9352486,135625285,0,131632190
