epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,41216977,25598666,27664129,26139352,36463152,52632924
1,42333177,25069237,29283109,26117934,35173426,51738317
2,43495647,25463112,28701710,26224277,34470995,51359459
3,43250548,27015892,27273763,25433553,34954837,51786607
4,41836373,25789456,26062658,27581201,36480730,51964782
5,43558106,26249429,27604613,23956536,36385242,51961274
6,41946847,26861135,30505984,24278651,34357731,51764852
7,40768487,25083325,29460005,24425820,37200425,52777138
8,41597508,26101393,29541651,25805376,34755800,51913472
9,42652109,27499627,28114493,25738000,33843536,51867435
10,40053078,25439563,29569099,26987085,35659622,52006753
11,42745721,25866890,27003828,25812731,36509034,51776996
12,42502110,26530303,28528755,27024260,33259180,51870592
13,42156881,27881566,26098878,24740732,36251254,52585889
14,41947734,28328879,27349642,24777776,35636988,51674181
15,42079899,25468202,27727992,25187651,38026110,51225346
16,43338775,26951524,26648981,25086619,35607239,52082062
17,42332927,28189052,27692627,25967144,33755306,51778144
18,42009599,26127545,27343002,27093977,35340313,51800764
19,43472124,28057451,27674371,24998345,33626624,51886285
20,43455014,26883510,26673306,25856838,34981774,51864758
21,41858320,26063013,30083776,25301889,34219757,52188445
22,44440676,26022702,26136935,25850089,35370854,51893944
23,40595328,26573071,28058073,26577169,35259315,52652244
24,41822084,27495260,28385507,25239595,34011976,52760778
25,39885573,26967197,29722961,26658054,34397614,52083801
26,43789271,26731060,27095657,24497286,36369082,51232844
27,40904325,26654817,27791232,26628279,34983922,52752625
28,44005497,27044222,27039296,25007364,35477474,51141347
29,42305533,26869589,27973081,27170287,34586320,50810390
30,41857062,26345358,26959768,26188563,35260708,53103741
31,42857073,26418498,28914844,23351390,36392426,51780969
32,44328701,26215657,28728597,25114787,33882656,51444802
33,44849420,27246573,26250601,25567854,33385013,52415739
34,42387971,26082837,28009445,26577317,34171791,52485839
35,42465941,27177390,27232224,25668474,35005088,52166083
36,42556472,26281501,28257140,24623777,35484404,52511906
37,43792684,27292909,28106522,24771715,34107402,51643968
38,41227096,27527684,28650525,27031544,33722120,51556231
39,42253164,26131938,27401410,24892641,36646382,52389665
40,41689682,25143111,30376706,26138517,33575534,52791650
41,43077295,25933747,27498550,24976886,36501445,51727277
42,43326074,26172728,27772941,25734289,34641179,52067989
43,42788271,25581480,28998228,26278454,34739644,51329123
44,39832361,25406355,29272940,27044502,35824181,52334861
45,43954324,24930799,26929778,26723378,35306820,51870101
46,42338179,28167070,28751243,24971138,34246958,51240612
47,42211986,27048352,27897584,25624298,34846333,52086647
48,40611427,26236457,28355096,27836391,34808647,51867182
49,42374186,26546108,27609682,26885816,34913954,51385454
50,42342388,25191834,29819434,24396621,36118760,51846163
51,42584095,27638535,28039900,25944680,32939159,52568831
52,40842807,27384122,25300730,26333041,37879327,51975173
53,41960780,27401555,28192331,25569862,35450386,51140286
54,44335747,26207032,28483619,24023441,35461953,51203408
55,40881313,26621502,27965354,28160368,34486667,51599996
56,41172166,25143729,28843821,26270888,36066365,52218231
57,42424709,25422077,28748206,26334891,34960588,51824729
58,42076107,26012081,30243607,25510224,34067563,51805618
59,42001519,28747638,28524788,24268315,33143213,53029727
60,43010650,27366447,27225470,24889399,35182614,52040620
61,40733590,26155363,28923286,24355644,37137675,52409642
62,39298685,27031042,28375109,27144626,35161671,52704067
63,44292132,28176215,28621318,25520388,32459041,50646106
64,43216213,25632640,28441017,24607085,35534808,52283437
65,42554990,26024708,27647029,25442605,36097088,51948780
66,43148691,26650403,28459004,25685521,34084189,51687392
67,43632366,26237599,27352525,27110208,33200034,52182468
68,43220941,26910444,27958874,25063322,34772341,51789278
69,40600874,26352880,27597582,25544422,36920184,52699258
70,43339079,25676439,29518844,24736271,33612414,52832153
71,40291832,28238225,28852840,26029007,34034917,52268379
72,43923629,25302206,27104451,26453765,34967927,51963222
73,42459343,27599175,28026861,24817000,34634825,52177996
74,43132419,25554360,28743145,25676115,34906755,51702406
75,43411105,27405855,26673076,25471841,33749170,53004153
76,41698919,27532672,27425668,25499583,34806650,52751708
77,41963676,27502711,26929983,26563078,34252851,52502901
78,44721611,25340532,26225551,28213772,34734240,50479494
79,42841353,26006838,26923279,25145887,36804312,51993531
80,42891344,25425877,26681597,27965068,35269616,51481698
81,40852865,26238182,28496169,27826597,35075056,51226331
82,41785371,25836773,29716708,26001992,33136914,53237442
83,42988837,26423894,27751044,25342755,35377572,51831098
