epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_5,sod_mask
0,49267915,4985045,9725341,19053740,61587991,14738959,50356209
1,47748285,4857170,9197748,19939178,63067525,14133018,50772276
2,49771221,5051661,10523511,19126492,62068471,14069073,49104771
3,49173080,4131189,9489756,19989536,61031272,15231278,50669089
4,50391040,5444823,10256143,19521961,60903707,14094510,49103016
5,48355657,5609275,9850514,19174988,60151673,15063959,51509134
6,47808056,5212821,10019089,20430330,62147310,13603041,50494553
7,48789801,5126449,9597309,18960834,62202962,14288325,50749520
8,50202560,4631228,9487485,19864412,60024111,14192639,51312765
9,50551279,4810547,9668117,17890474,60993649,15245966,50555168
10,48344652,5089134,9491035,19603024,61022628,14799841,51364886
11,49897443,4968614,10316957,19136962,61097101,14375712,49922411
12,51483039,5192145,9873436,16630091,60195634,14858154,51482701
13,48965590,5158189,9054106,19776552,62900898,13199875,50659990
14,52978825,5245682,9723833,17249837,61875508,13190849,49450666
15,49894480,5171275,9636909,18602540,61647338,14270400,50492258
16,51323244,4808049,9878912,19150962,59807770,13383469,51362794
17,49435656,4953463,9232721,19816796,61479950,14515777,50280837
18,49132699,5718452,9214846,19828206,60730984,14370161,50719852
19,49113760,4610743,8782764,18967204,62653286,14905967,50681476
20,51670863,5295657,9507811,17581071,60196341,15130453,50333004
21,50693050,4909426,9801771,17950608,60499338,14201127,51659880
22,49754893,5107884,9273568,17619045,62243470,15497152,50219188
23,49181741,5244834,9066095,18309739,62992494,13722335,51197962
24,49678334,5318057,9650994,17614055,63164917,14641923,49646920
25,49279088,4597368,10704965,18911463,60166235,15237995,50818086
26,49942538,5106343,9736751,20514921,60309794,13245400,50859453
27,49645975,4720002,9005935,17859573,64857788,14198658,49427269
28,49002940,4882724,11244717,19738583,60432340,14603117,49810779
29,48521342,5430082,9065560,20529803,62944881,13154779,50068753
30,50036170,4710470,9486581,17043428,63102699,14706027,50629825
31,47755485,4401570,8073986,20115943,64814232,14401081,50152903
32,50077767,4939183,10263068,18510802,61082596,14606754,50235030
33,49442988,5117279,9445767,18682507,61692370,14158842,51175447
34,47695414,5396785,10406473,18789906,63385058,13621291,50420273
35,47466639,5554541,8778784,19289311,62902322,15127865,50595738
36,49269593,5056757,9928427,20228357,62270457,12848993,50112616
37,46587256,4845917,10174476,18178904,64533611,15290005,50105031
38,50236413,5170598,9049205,19099096,61635098,14736277,49788513
39,50867843,4945194,9653689,17789718,60510719,15087101,50860936
40,49290807,5943500,8778525,18852338,61189001,14876217,50784812
41,51483684,4648527,9360037,17756768,63217793,13539465,49708926
42,48755912,5677003,9662542,19119342,60861836,14440200,51198365
43,48920110,5109902,10169508,17317747,63917144,13253095,51027694
44,51402172,5577887,9989044,18127821,60171102,13737458,50709716
45,48034598,5127558,9674136,18802061,62139594,15119382,50817871
46,49440576,4825763,10207982,20757147,59779185,13831539,50873008
47,49386029,5368334,10204932,18698094,60605879,15014793,50437139
48,48875069,5032605,9236546,18557070,62913565,14336429,50763916
49,48328994,5098664,9820515,17614872,63020651,14785860,51045644
50,50000693,4906903,9072612,17306951,61574147,15663237,51190657
51,48189883,4674399,9050267,17787335,64231883,14619336,51162097
52,48202797,4730925,8990591,18931121,62542846,15932787,50384133
53,49957340,5644417,9086613,18660329,61582085,14095385,50689031
