epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,228164569,0,291388,45509574,0,40607269
0,163303022,3186977,7322691,13197367,36339884,91222859
1,160509348,3808545,7673701,13970821,36598217,92012168
2,162562699,2909622,7760734,14649450,35733611,90956684
3,160556300,3036554,6705320,13405620,37653074,93215932
4,160088074,3828669,7373596,14152303,36816728,92313430
5,162864963,2811528,6948604,11901410,38793062,91253233
6,162885637,3175048,6833311,12967280,36596081,92115443
7,162949010,3192742,7058437,13363748,36353571,91655292
8,162028173,3241787,6984401,13020202,37056495,92241742
9,160360138,3182975,7079934,12128453,37535453,94285847
10,163179293,3205229,6286091,12284623,38515513,91102051
11,166295779,2697013,6442823,13305718,36021596,89809871
12,165077581,3258120,6506797,13858197,35434244,90437861
