epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_5,sod_mask
0,46430603,8808635,13205928,20584502,75892159,19493914,25299459
0,93343331,13657351,23991442,37492846,135272891,32658673,83013866
0,93343331,13657351,23991442,37492846,135272891,32658673,83013866
1,98246884,13108994,24271025,37259241,129176485,33410943,83956828
2,95132722,12721992,23283639,37207410,133335377,35580339,82168921
3,97264105,13525115,21635044,38188255,131677608,32150298,84989975
4,95541037,13768550,22457515,36109953,132828730,34129362,84595253
5,93420971,13723032,23827063,35771219,133852601,34438584,84396930
6,96610914,13513868,22848509,38721669,129033064,34471446,84230930
7,98782392,12491820,22786395,38602320,128743803,34535166,83488504
8,95193819,13095880,23545057,36314417,132752270,33477777,85051180
9,95929372,13409859,23769015,38695894,130688161,33512900,83425199
10,96667653,12546244,23307751,38568208,133233864,31942735,83163945
11,93429062,13367637,23144760,39277803,132608748,33321743,84280647
12,96904235,13332177,20435029,38208298,133156830,34079492,83314339
13,95857584,13820312,22279504,39248262,127761449,36198059,84265230
14,94039075,12335422,22955356,37073132,131078264,37622962,84326189
15,97374745,14334405,22669366,37065971,131747887,33855221,82382805
16,98508021,13634970,21126961,37486606,131459982,34102269,83111591
17,95012439,12931378,23759196,37840191,131182977,33797507,84906712
18,95726844,12493141,22907992,35813667,133915128,33825582,84748046
19,93172626,12792454,22835338,37041594,133951304,36294433,83342651
20,101321504,13131698,23781298,34855782,124367276,36824863,85147979
21,99415270,13289601,23941684,36277853,128588427,33582700,84334865
22,96403965,12159883,22226959,38865865,130549301,37238242,81986185
23,97641786,13848589,23831132,37519938,128211708,34540065,83837182
24,94624303,12319488,22772241,38454408,132825968,33866609,84567383
25,96642995,12457748,24637864,37941983,131466866,32472158,83810786
