epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,34715407,36306056,32024016,26590534,30429595,49649592
1,34127394,37588958,31157025,26063058,29852647,50926118
2,34452057,37681741,32104778,25183607,30327150,49965867
3,35307396,37853573,30589230,25041460,29794639,51128902
4,34135549,38817941,31799004,26335684,29368166,49258856
5,32921195,37052998,30562522,27290354,31642864,50245267
6,36184546,37386380,30545347,27654929,28898761,49045237
7,34776114,38266643,30277916,26281982,29310482,50802063
8,34898536,37953964,31391422,24755180,29868265,50847833
9,36041402,37636515,31201760,25932678,29128577,49774268
10,34527833,37308626,32528778,26935962,28404003,50009998
11,33838705,38019327,32071524,27307521,29439980,49038143
12,33373534,38276030,31833353,25249380,30662042,50320861
13,35016445,37367410,29366894,27662593,29907803,50394055
14,32878838,38921253,30732276,26187111,30830665,50165057
15,35523315,37542964,30438927,24115214,31581634,50513146
16,33262195,38184632,31733008,26718625,29688187,50128553
17,33681926,38305693,31996698,26446099,28353411,50931373
18,34405781,35448434,32565034,28033671,30024901,49237379
19,34867816,36480214,31303538,26634456,30922520,49506656
20,35015274,36681033,31039938,26510813,30219184,50248958
21,35062072,37414442,30566225,25944734,29982801,50744926
22,37176909,37803592,29534615,25154763,30748033,49297288
23,35996017,36660907,31990819,24532039,30858854,49676564
24,34192007,38213289,30957680,26462073,29867658,50022493
25,34166713,38637906,30780415,26412911,29375209,50342046
26,35209802,36140375,30900377,27776243,29849897,49838506
27,36825033,37850890,31497844,24358407,28343450,50839576
28,34710462,36258905,31405878,26003692,31088646,50247617
29,33754418,36528471,30987304,27438422,31615201,49391384
30,34350102,35802587,33637279,26498500,28523455,50903277
31,33941310,37604733,32194963,26266595,29446913,50260686
32,34286934,38314713,31909866,26503784,28488543,50211360
33,36019509,37109897,31414841,26382886,29032769,49755298
34,35167451,37675461,30581106,26997513,29219032,50074637
35,35534995,35891567,31407698,26455913,31051253,49373774
36,34064381,37170337,31258536,25313906,31427945,50480095
37,34921064,35177860,32901078,26396578,31171155,49147465
38,36007818,37357771,31423557,24867421,31218591,48840042
39,34908801,37041550,31660027,26801546,29303330,49999946
40,33344200,36487888,33098713,27240650,28447273,51096476
41,34523784,39551383,32710441,25261677,26953891,50714024
42,34267412,36150954,31056209,26364334,31758608,50117683
43,35881231,38030490,30974633,27376271,28576829,48875746
44,35793940,36162404,31609857,25310022,29812283,51026694
45,33887514,36662173,32935634,27091589,28792749,50345541
46,34934501,35881664,31947646,27844179,29729610,49377600
47,34650312,37982847,31220252,24784749,31221675,49855365
48,33094097,37508663,30643351,26803268,31753393,49912428
49,33544380,38248878,32684132,25769400,30201203,49267207
50,33125546,37619881,29822912,27276283,31111678,50758900
51,32555025,35286464,34473291,26500518,30717333,50182569
52,34586821,37496382,30649917,27374101,30100442,49507537
53,34208122,37377131,30768506,26591714,30784288,49985439
54,35045179,37038776,31705459,28030258,28531925,49363603
55,36934491,36651921,30895733,24818637,30702042,49712376
56,33860087,37655802,31096971,26453789,29308250,51340301
57,34147875,36151518,31685588,26917225,30401177,50411817
58,31997922,36902617,31842410,26591960,31799386,50580905
59,36946501,36578335,31096407,25325660,30010523,49757774
60,33640200,40427813,32551343,24073488,29248602,49773754
61,33681014,38952483,30820665,25914782,30936570,49409686
62,35354660,37017277,31347948,25006455,30520224,50468636
63,35169294,36380824,31003143,25254534,31891568,50015837
64,34754586,36539868,31418119,28597161,29653134,48752332
65,36177968,38301228,30494329,24212825,30601890,49926960
66,35069389,37230720,32227222,24132151,30374724,50680994
67,34036182,37668880,30691133,26165698,31101172,50052135
68,36312381,37091569,30532413,24058054,30597159,51123624
69,34594277,37937811,29649376,26615439,30330017,50588280
70,36930620,38109849,30013460,25234240,29710184,49716847
71,34997592,36408484,31491288,25786677,31109237,49921922
72,35849424,38332081,30719840,26232620,29238857,49342378
73,37376819,36746197,29784099,25436277,29533691,50838117
74,32987086,39004250,31272100,25515766,29470967,51465031
75,35604718,37984094,30326104,25838557,31071871,48889856
