epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,41231947,39367200,30947014,19322701,35305154,43541184
1,40296233,37684295,31587868,20067370,36677022,43402412
2,40248107,39553006,31345286,19961915,35447611,43159275
0,39729981,38440235,28770048,24777200,34278288,43719448
1,39807118,36016577,30857947,24964172,34758274,43311112
2,40520147,38102100,28776862,24575245,34300286,43440560
3,39483768,35232705,32954666,24718986,34416922,42908153
4,39390137,37149792,31140246,23397141,34742647,43895237
5,40418518,36152882,28826624,24765251,36530456,43021469
6,39698194,37111862,27882924,23514477,37188786,44318957
7,38755250,37020283,32540511,22784839,36021232,42593085
8,39595642,35790371,29918253,25302936,35648569,43459429
9,39457758,37649330,31193035,23740924,34799459,42874694
10,39483056,36705690,30616299,23591709,35442598,43875848
11,39717628,37278724,31226548,23888624,35256249,42347427
12,37397029,37592786,31081356,24867013,36281115,42495901
13,38539645,39589638,29873112,24658631,33217423,43836751
14,40168625,37276944,33361648,20651015,35740084,42516884
15,38949552,37184603,30595119,23363215,36464006,43158705
