epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,68636577,67352618,40764868,54306859,81866712,106502766
1,70439338,68146632,40196654,54208960,79171778,107267038
2,67585367,70143709,42345086,52413939,80220543,106721756
3,70565959,69426196,39938319,51693299,81356773,106449854
4,68096131,68580812,41832935,53480784,80862903,106576835
5,71773982,69806549,41299106,51813037,79083346,105654380
6,67402101,68877891,40498834,56176377,80430955,106044242
7,65175250,71464284,42633193,54082773,78946009,107128891
8,69536391,68389979,40730047,54227634,79715143,106831206
9,64968770,69569778,39415917,53341135,84672996,107461804
10,69954281,67970993,43642689,50731127,80458400,106672910
11,67619284,70859844,43150600,51023455,79213473,107563744
12,66117481,71653130,41820784,52731060,80588552,106519393
13,71298436,68970947,39887541,51755942,82204373,105313161
14,67273787,69679112,42243294,53887640,78265245,108081322
15,72703203,69006401,41730209,51351280,77802263,106837044
16,70777668,71934446,40298469,51174875,79378863,105866079
17,68557446,69451544,42234375,52858584,79808931,106519520
18,69121277,69537228,42681012,50551429,82366235,105173219
19,68774698,70663709,42085046,52657962,79677667,105571318
20,67369678,67607875,41089476,51931497,85094166,106337708
21,66947086,70561169,41859658,52778653,81347028,105936806
22,67954115,71580162,40052022,50102514,82586777,107154810
23,67040513,70394321,41006724,51487657,83063445,106437740
24,64764517,69007184,41152078,55641084,81498191,107367346
25,67844578,70327228,42770384,53358187,79584033,105545990
26,67547732,69241003,40323401,57026558,78488615,106803091
27,68748893,69230086,41588606,54591916,78326998,106943901
28,69406753,73241857,41104811,50965015,77956284,106755680
29,70525917,68108548,41696432,53662610,79381105,106055788
30,72363776,69500713,41404757,51632187,78401144,106127823
31,69801255,67132602,40040784,52684892,81174701,108596166
32,69359057,69785006,40229365,54516382,79225071,106315519
33,70125937,73979719,41800697,51158800,77255615,105109632
34,69229778,69393488,42404888,51354897,80150134,106897215
35,63860693,70428604,43184277,54411052,79912964,107632810
36,70373379,71151495,40678644,52761004,79374106,105091772
37,67341896,71506704,40853157,51662839,81696895,106368909
38,68183580,69516318,40381912,53255416,81536143,106557031
39,69114892,68094430,41159201,54659754,78817546,107584577
40,66897132,71300242,43080529,52880095,78632633,106639769
41,65444571,69499995,41338436,55115601,81158141,106873656
42,68157078,70662774,42833463,51873003,77935968,107968114
43,67844688,71726951,41246520,54186658,78929295,105496288
44,67760954,69057288,41945637,54824535,79868603,105973383
45,67857399,70014406,43239037,51784884,79781644,106753030
46,68204169,69341278,42012367,52077950,80121752,107672884
47,67900561,68943634,40788077,54130701,81034700,106632727
48,69161190,68690988,38863606,54839890,81637502,106237224
49,69677973,70947978,40946286,51929704,78890383,107038076
50,68221296,69325578,40144688,54369959,79690741,107678138
51,69789437,69906952,40810686,52462977,80020553,106439795
52,70243086,70361682,41090423,53227472,77751940,106755797
53,67928951,69089464,41557323,57166970,78535672,105152020
54,66631251,71606115,40839714,53935914,80228748,106188658
55,68194163,69790107,41706249,53177732,80151853,106410296
